Experiment:, 0%_SOC
Start date:, Friday, June 21, 2024
Start time:, 7:52:50 AM +02:00
Time (s), Voltage (V), Current (A), Reverse I (A), Charge (C), Frequency (Hz), V' (V), V'' (V), A' (A), A'' (A), Z' (Ohm), Z'' (Ohm), | Z | (Ohm), Phase (Deg), V Range (), I Range ()
1, 0.004015722, -0.05648626, , -0.05648626, 10000, 0.0002654099, -0.0005918461, -0.1329338, -0.1462567, 0.001312759, 0.003007862, 0.003281854, 66.4215, 2, 1
1, 0.004015722, -0.05648626, , -0.05648626, 7943.282, 0.000534325, 0.0001832985, 0.1601053, -0.1184106, 0.001609989, 0.002335577, 0.002836721, 55.42024, 2, 1
1, 0.004015722, -0.05648626, , -0.05648626, 6309.573, -1.762957e-05, 0.0005104731, 0.1385554, 0.1437782, 0.001779599, 0.001837571, 0.002558054, 45.91819, 2, 1
1, 0.004015722, -0.05648626, , -0.05648626, 5011.872, -0.0003616534, -0.0003070285, -0.1997004, -0.008552943, 0.001873391, 0.001457211, 0.002373406, 37.87744, 2, 1
2, 0.003906708, -0.00740684, , -0.0638931, 3981.071, -9.749202e-05, -0.0004399808, -0.1376051, -0.1452337, 0.001931535, 0.001158801, 0.002252476, 30.96114, 2, 1
2, 0.003906708, -0.00740684, , -0.0638931, 3162.277, 0.0003976907, -0.0001779879, 0.1311796, -0.1512115, 0.001973467, 0.0009180004, 0.002176533, 24.9465, 2, 1
2, 0.003906708, -0.00740684, , -0.0638931, 2511.886, 0.0002618518, -0.0003344094, 0.0618098, -0.1904218, 0.001992566, 0.0007283395, 0.002121508, 20.0788, 2, 1
2, 0.003906708, -0.00740684, , -0.0638931, 1995.262, -0.0004164824, -4.180253e-05, -0.1970496, 0.03575743, 0.002008943, 0.0005766932, 0.002090078, 16.01682, 2, 1
3, 0.004015722, 0.04757026, , -0.01632284, 1584.893, -0.0003442615, 0.0002286127, -0.1381876, 0.1450007, 0.002011955, 0.000456786, 0.002063156, 12.79137, 2, 1
3, 0.004015722, 0.04757026, , -0.01632284, 1258.925, 4.977595e-05, -0.0004059206, -0.01054765, -0.1999868, 0.002011016, 0.0003549606, 0.002042102, 10.01006, 2, 1
3, 0.004015722, 0.04757026, , -0.01632284, 999.9998, 0.0001395526, -0.0003808855, 0.04275237, -0.1956766, 0.002006541, 0.0002747811, 0.002025268, 7.797737, 2, 1
3, 0.004015722, 0.04757026, , -0.01632284, 794.328, -0.0001240262, 0.0003884949, -0.04116526, 0.1960335, 0.002025326, 0.0002073787, 0.002035915, 5.8463, 2, 1
3, 0.004015722, 0.04757026, , -0.01632284, 630.9572, 0.0003796799, 0.0001469947, 0.1918526, 0.05743106, 0.002026758, 0.0001594757, 0.002033023, 4.499055, 2, 1
4, 0.003953428, -0.00064646, , -0.0169693, 501.1871, -0.000238437, 0.000328584, -0.1078709, 0.1687357, 0.002023649, 0.0001193825, 0.002027167, 3.376175, 2, 1
4, 0.003953428, -0.00064646, , -0.0169693, 398.107, 2.050439e-05, 0.0004060861, 0.01774186, 0.1994945, 0.002028671, 7.763621e-05, 0.002030156, 2.191611, 2, 1
4, 0.003953428, -0.00064646, , -0.0169693, 316.2276, 3.256724e-05, -0.0004042025, 0.01150897, -0.1999159, 0.002024531, 4.635438e-05, 0.002025062, 1.311635, 2, 1
4, 0.003953428, -0.00064646, , -0.0169693, 251.1885, 0.0004042014, 5.327514e-05, 0.1988501, 0.02380563, 0.002035594, 2.422198e-05, 0.002035738, 0.6817428, 2, 1
4, 0.003953428, -0.00064646, , -0.0169693, 199.5261, 0.0003592189, 0.0001982154, 0.1755901, 0.09634908, 0.002048438, 4.842465e-06, 0.002048443, 0.1354458, 2, 1
4, 0.003953428, -0.00064646, , -0.0169693, 158.4892, 0.0003410668, -0.0002311556, 0.1666302, -0.1110331, 0.002057615, -1.615656e-05, 0.002057678, -0.449882, 2, 1
5, 0.003953428, -0.0006621453, , -0.01763144, 125.8925, -0.0003421017, -0.000228653, -0.164414, -0.1143409, 0.002054333, -3.796116e-05, 0.002054684, -1.058624, 2, 1
5, 0.003953428, -0.0006621453, , -0.01763144, 99.99994, -0.0001988475, -0.0003617778, -0.09200481, -0.1779088, 0.002060462, -5.213352e-05, 0.002061122, -1.44938, 2, 1
5, 0.003953428, -0.0006621453, , -0.01763144, 79.43277, -0.0003019264, -0.000281103, -0.142075, -0.1410758, 0.002059312, -6.627467e-05, 0.002060378, -1.843309, 2, 1
5, 0.003953428, -0.0006621453, , -0.01763144, 63.09569, -0.0004115718, 3.727829e-05, -0.1999687, 0.01034362, 0.002062305, -7.974537e-05, 0.002063847, -2.214414, 2, 1
5, 0.003953428, -0.0006621453, , -0.01763144, 50.11869, -0.0004130774, -5.328687e-05, -0.1971764, -0.03506115, 0.002077336, -9.913411e-05, 0.0020797, -2.732182, 2, 1
5, 0.003953428, -0.0006621453, , -0.01763144, 39.81069, 0.0004080396, 9.773659e-05, 0.1920408, 0.05669251, 0.002092627, -0.0001088295, 0.002095455, -2.977051, 2, 1
5, 0.003953428, -0.0006621453, , -0.01763144, 31.62275, 0.0004200857, -3.345187e-05, 0.2002226, -0.003898071, 0.00210055, -0.0001261784, 0.002104336, -3.437584, 2, 1
6, 0.003984575, -0.001697378, , -0.01932882, 25.11885, -0.0002258632, -0.0003625736, -0.09346204, -0.1771316, 0.002127431, -0.0001525935, 0.002132897, -4.102608, 2, 1
6, 0.003984575, -0.001697378, , -0.01932882, 19.95261, 0.0003709043, -0.0002153403, 0.1804195, -0.08679511, 0.002135705, -0.0001661217, 0.002142155, -4.447687, 2, 1
6, 0.003984575, -0.001697378, , -0.01932882, 15.84892, 0.000350441, -0.0002524656, 0.171861, -0.1027604, 0.002149113, -0.0001839978, 0.002156975, -4.893486, 2, 1
6, 0.003984575, -0.001697378, , -0.01932882, 12.58924, -1.643543e-05, -0.0004356619, 0.01190668, -0.1999071, 0.002166739, -0.0002112686, 0.002177014, -5.569041, 2, 1
6, 0.003984575, -0.001697378, , -0.01932882, 9.999991, -0.0003208926, 0.0003056951, -0.1595182, 0.1210329, 0.00219946, -0.0002475469, 0.002213346, -6.421556, 2, 1
7, 0.004031295, -0.001901287, , -0.02123011, 7.943275, 0.0003159134, -0.0003175997, 0.1568623, -0.1245273, 0.002221353, -0.0002612532, 0.002236663, -6.707741, 2, 1
7, 0.004031295, -0.001901287, , -0.02123011, 6.309568, -0.0001370117, 0.0004359021, -0.08385949, 0.1818914, 0.002262801, -0.0002899842, 0.002281306, -7.302808, 2, 1
7, 0.004031295, -0.001901287, , -0.02123011, 5.011868, -0.0003409833, -0.0003135397, -0.1268864, -0.1549313, 0.002290134, -0.0003252816, 0.00231312, -8.083993, 2, 1
7, 0.004031295, -0.001901287, , -0.02123011, 3.981068, 0.0003173685, -0.0003477907, 0.1556927, -0.1259862, 0.002324169, -0.0003531154, 0.00235084, -8.63899, 2, 1
8, 0.004015722, 0.001612229, , -0.01961788, 3.162275, 0.0004481775, 0.0001713284, 0.1729699, 0.1010005, 0.002363564, -0.000389621, 0.002395463, -9.36072, 2, 1
8, 0.004015722, 0.001612229, , -0.01961788, 2.511884, 8.60195e-05, 0.0004873505, -0.003088824, 0.2002445, 0.002426573, -0.0004670028, 0.002471103, -10.89359, 2, 1
9, 0.003969001, -0.03623649, , -0.05585437, 1.99526, -0.0002924133, 0.0004085172, -0.1475761, 0.1354334, 0.002454583, -0.0005155628, 0.002508143, -11.86202, 2, 1
9, 0.003969001, -0.03623649, , -0.05585437, 1.584892, -0.0004778352, 0.0001825673, -0.1984338, 0.02726883, 0.002487491, -0.0005782095, 0.002553809, -13.08584, 2, 1
10, 0.004078016, 0.005392395, , -0.05046197, 1.258924, -0.000518312, -4.674619e-05, -0.1883819, -0.0679681, 0.002513697, -0.0006587951, 0.002598593, -14.6859, 2, 1
11, 0.004124735, -0.007312728, , -0.0577747, 0.999999, -0.0004656343, -0.0002464039, -0.1419605, -0.1413071, 0.002515431, -0.0007681316, 0.002630099, -16.98098, 2, 1
12, 0.004296043, 0.009109819, , -0.04866488, , , , , , , , , , 2, 1
13, 0.004576365, 0.1249774, , 0.07631251, 0.794327, -0.0003951397, -0.0003676017, -0.09190185, -0.1779675, 0.002535876, -0.0009107731, 0.002694471, -19.75602, 2, 1
14, 0.003937854, -0.1179885, , -0.04167595, 0.630957, -0.0003218456, -0.0004490098, -0.04455107, -0.1952482, 0.002543391, -0.00106805, 0.002758545, -22.77906, 2, 1
15, 0.004903407, 0.1288674, , 0.08719141, , , , , , , , , , 2, 1
16, 0.003922281, -0.1321994, , -0.04500797, 0.501187, -0.0002617272, -0.0005102925, -0.001467904, -0.2002965, 0.002557125, -0.001287959, 0.002863167, -26.73323, 2, 1
17, 0.005214876, 0.2033884, , 0.1583804, , , , , , , , , , 2, 1
18, 0.004140309, -0.2064224, , -0.04804196, , , , , , , , , , 2, 1
19, 0.004623086, 0.1163191, , 0.06827714, 0.398107, -0.000225314, -0.0005606676, 0.03259336, -0.1976334, 0.002578754, -0.001565344, 0.003016666, -31.25841, 2, 1
20, 0.005479625, 0.1353925, , 0.2036696, , , , , , , , , , 2, 1
21, 0.00418703, -0.2364441, , -0.03277454, , , , , , , , , , 2, 1
22, 0.004436204, 0.04736635, , 0.01459181, 0.316227, -0.0002251183, -0.0006011004, 0.05588659, -0.1923161, 0.002568519, -0.001916969, 0.003205005, -36.73517, 2, 1
23, 0.005759947, 0.2462721, , 0.2608639, , , , , , , , , , 2, 1
24, 0.005370611, -0.06967763, , 0.1911863, , , , , , , , , , 2, 1
25, 0.004140309, -0.2464357, , -0.0552494, , , , , , , , , , 2, 1
26, 0.004623086, 0.06722399, , 0.01197459, 0.251188, -0.0002464672, -0.0006574229, 0.07368103, -0.1862613, 0.002599373, -0.00235149, 0.003505174, -42.13367, 2, 1
27, 0.005931254, 0.2656435, , 0.2776181, , , , , , , , , , 2, 1
28, 0.006196002, 0.08143491, , 0.359053, , , , , , , , , , 2, 1
29, 0.005105862, -0.2157081, , 0.1433449, , , , , , , , , , 2, 1
30, 0.004218176, -0.2167747, , -0.07342982, , , , , , , , , , 2, 1
31, 0.004763247, 0.07658814, , 0.003158318, 0.199526, -0.0002913702, -0.0007233546, 0.08765819, -0.1800999, 0.00261055, -0.002888432, 0.00389333, -47.89289, 2, 1
32, 0.006024695, 0.265267, , 0.2684254, , , , , , , , , , 2, 1
33, 0.00677222, 0.1956555, , 0.4640809, , , , , , , , , , 2, 1
34, 0.006398457, -0.05298843, , 0.4110925, , , , , , , , , , 2, 1
35, 0.00523045, -0.2538235, , 0.157269, , , , , , , , , , 2, 1
36, 0.004405058, -0.2236449, , -0.06637588, , , , , , , , , , 2, 1
37, 0.00468538, 0.01011368, , -0.0562622, 0.158489, -0.0003624427, -0.0008093837, 0.09821137, -0.1745353, 0.002634634, -0.003559129, 0.004428171, -53.48942, 2, 1
38, 0.00577552, 0.2226657, , 0.1664035, , , , , , , , , , 2, 1
39, 0.006881235, 0.2731097, , 0.4395132, , , , , , , , , , 2, 1
40, 0.007426304, 0.1611007, , 0.600614, , , , , , , , , , 2, 1
41, 0.007083689, -0.04688684, , 0.5537271, , , , , , , , , , 2, 1
42, 0.006071415, -0.2274564, , 0.3262707, , , , , , , , , , 2, 1
43, 0.005027995, -0.273336, , 0.05293465, , , , , , , , , , 2, 1
44, 0.004560792, -0.1571704, , -0.1042358, , , , , , , , , , 2, 1
45, 0.004996848, 0.0519151, , -0.05232068, 0.125892, -0.0004633581, -0.0009194158, 0.1067758, -0.1694622, 0.002650417, -0.004404278, 0.00514027, -58.96121, 2, 1
46, 0.006040269, 0.2191835, , 0.1668629, , , , , , , , , , 2, 1
47, 0.007145983, 0.2790701, , 0.445933, , , , , , , , , , 2, 1
48, 0.007986948, 0.2320455, , 0.6779785, , , , , , , , , , 2, 1
49, 0.008204976, 0.09625755, , 0.7742361, , , , , , , , , , 2, 1
50, 0.007784493, -0.07661055, , 0.6976255, , , , , , , , , , 2, 1
51, 0.006834513, -0.2203667, , 0.4772589, , , , , , , , , , 2, 1
52, 0.005759947, -0.2802689, , 0.1969899, , , , , , , , , , 2, 1
53, 0.004996848, -0.2332914, , -0.03630146, , , , , , , , , , 2, 1
54, 0.00482554, -0.09742498, , -0.1337264, , , , , , , , , , 2, 1
55, 0.00532389, 0.07547448, , -0.05825197, 0.1, -0.0005979105, -0.001061034, 0.1141711, -0.1645789, 0.00265096, -0.005471986, 0.006080314, -64.15166, 2, 1
56, 0.00627387, 0.2104625, , 0.1522105, , , , , , , , , , 2, 1
57, 0.007364011, 0.2738783, , 0.4260888, , , , , , , , , , 2, 1
58, 0.008345137, 0.2703962, , 0.696485, , , , , , , , , , 2, 1
59, 0.009030368, 0.2006278, , 0.8971128, , , , , , , , , , 2, 1
60, 0.009201676, 0.08201526, , 0.979128, , , , , , , , , , 2, 1
61, 0.008874634, -0.05705093, , 0.9220771, , , , , , , , , , 2, 1
62, 0.008111537, -0.1821415, , 0.7399356, , , , , , , , , , 2, 1
63, 0.007099262, -0.2629523, , 0.4769833, , , , , , , , , , 2, 1
64, 0.006102562, -0.2798925, , 0.1970908, , , , , , , , , , 2, 1
65, 0.005386184, -0.228523, , -0.03143222, , , , , , , , , , 2, 1
66, 0.005105862, -0.1216588, , -0.153091, , , , , , , , , , 2, 1
67, 0.005355037, 0.01478791, , -0.1383031, , , , , , , , , , 2, 1
68, 0.006071415, 0.1465761, , 0.008272972, 0.079433, -0.0007795023, -0.001234627, 0.1192063, -0.1609303, 0.002637018, -0.006797052, 0.007290663, -68.79549, 2, 1
69, 0.007052541, 0.2328455, , 0.2411184, , , , , , , , , , 2, 1
70, 0.008080389, 0.2762782, , 0.5173966, , , , , , , , , , 2, 1
71, 0.009092662, 0.2767487, , 0.7941453, , , , , , , , , , 2, 1
72, 0.009886907, 0.2342571, , 1.028402, , , , , , , , , , 2, 1
73, 0.01038526, 0.1552501, , 1.183653, , , , , , , , , , 2, 1
74, 0.01046313, 0.05224449, , 1.235897, , , , , , , , , , 2, 1
75, 0.01015166, -0.05915277, , 1.176744, , , , , , , , , , 2, 1
76, 0.009497572, -0.1614055, , 1.015339, , , , , , , , , , 2, 1
77, 0.008578739, -0.2386558, , 0.776683, , , , , , , , , , 2, 1
78, 0.007566466, -0.2790141, , 0.497669, , , , , , , , , , 2, 1
79, 0.006600912, -0.2761437, , 0.2215252, , , , , , , , , , 2, 1
80, 0.005884534, -0.2306562, , -0.009130996, , , , , , , , , , 2, 1
81, 0.005495198, -0.1492964, , -0.1584274, , , , , , , , , , 2, 1
82, 0.005510772, -0.04503596, , -0.2034634, , , , , , , , , , 2, 1
83, 0.005915681, 0.06632993, , -0.1371334, , , , , , , , , , 2, 1
84, 0.006678779, 0.165822, , 0.02868859, 0.063096, -0.001018415, -0.001465203, 0.123201, -0.1579173, 0.0026401, -0.008508742, 0.008908918, -72.76188, 2, 1
85, 0.007582038, 0.2312769, , 0.2599655, , , , , , , , , , 2, 1
86, 0.008578739, 0.2703491, , 0.5303146, , , , , , , , , , 2, 1
87, 0.009606585, 0.2826621, , 0.8129768, , , , , , , , , , 2, 1
88, 0.01057214, 0.2671493, , 1.080126, , , , , , , , , , 2, 1
89, 0.01133524, 0.2253322, , 1.305458, , , , , , , , , , 2, 1
90, 0.01183359, 0.1612889, , 1.466747, , , , , , , , , , 2, 1
91, 0.01205161, 0.08132511, , 1.548072, , , , , , , , , , 2, 1
92, 0.0119426, -0.006716685, , 1.541356, , , , , , , , , , 2, 1
93, 0.01153769, -0.09417813, , 1.447178, , , , , , , , , , 2, 1
94, 0.01086803, -0.1723695, , 1.274808, , , , , , , , , , 2, 1
95, 0.0100115, -0.2337149, , 1.041093, , , , , , , , , , 2, 1
96, 0.009030368, -0.2721439, , 0.7689492, , , , , , , , , , 2, 1
97, 0.008049241, -0.2838766, , 0.4850726, , , , , , , , , , 2, 1
98, 0.007145983, -0.267705, , 0.2173676, , , , , , , , , , 2, 1
99, 0.006460751, -0.2252605, , -0.007892864, , , , , , , , , , 2, 1
100, 0.006024695, -0.1606996, , -0.1685925, , , , , , , , , , 2, 1
101, 0.005900107, -0.08046914, , -0.2490616, , , , , , , , , , 2, 1
102, 0.006071415, 0.007651083, , -0.2414106, , , , , , , , , , 2, 1
103, 0.006538619, 0.09503409, , -0.1463765, , , , , , , , , , 2, 1
104, 0.007254996, 0.1718609, , 0.0254844, 0.050119, -0.001324723, -0.00174275, 0.126335, -0.1554398, 0.00258047, -0.01061972, 0.01092874, -76.34247, 2, 1
105, 0.008142683, 0.2244538, , 0.2499382, , , , , , , , , , 2, 1
106, 0.009139382, 0.2602791, , 0.5102173, , , , , , , , , , 2, 1
107, 0.01015166, 0.279823, , 0.7900404, , , , , , , , , , 2, 1
108, 0.01113278, 0.2818935, , 1.071934, , , , , , , , , , 2, 1
109, 0.01205161, 0.2663023, , 1.338236, , , , , , , , , , 2, 1
110, 0.01284586, 0.2342101, , 1.572446, , , , , , , , , , 2, 1
111, 0.01357781, 0.1874835, , 1.75993, , , , , , , , , , 2, 1
112, 0.0139983, 0.1290713, , 1.889001, , , , , , , , , , 2, 1
113, 0.01413846, 0.06259681, , 1.951598, , , , , , , , , , 2, 1
114, 0.01406059, -0.007893085, , 1.943705, , , , , , , , , , 2, 1
115, 0.0137024, -0.07791243, , 1.865792, , , , , , , , , , 2, 1
116, 0.01304832, -0.1430693, , 1.722723, , , , , , , , , , 2, 1
117, 0.01228522, -0.1994424, , 1.523281, , , , , , , , , , 2, 1
118, 0.0114131, -0.2433457, , 1.279935, , , , , , , , , , 2, 1
119, 0.01046313, -0.2721596, , 1.007775, , , , , , , , , , 2, 1
120, 0.009497572, -0.2840648, , 0.7237105, , , , , , , , , , 2, 1
121, 0.008563166, -0.2784024, , 0.4453081, , , , , , , , , , 2, 1
122, 0.007753347, -0.255392, , 0.1899161, , , , , , , , , , 2, 1
123, 0.007083689, -0.216461, , -0.02654489, , , , , , , , , , 2, 1
124, 0.006616486, -0.164119, , -0.1906639, , , , , , , , , , 2, 1
125, 0.006414031, -0.1017385, , -0.2924024, , , , , , , , , , 2, 1
126, 0.006429604, -0.03287983, , -0.3252822, , , , , , , , , , 2, 1
127, 0.006678779, 0.03793947, , -0.2873427, , , , , , , , , , 2, 1
128, 0.007177129, 0.1063275, , -0.1810152, , , , , , , , , , 2, 1
129, 0.007877935, 0.1677199, , -0.01329526, 0.039811, -0.001713303, -0.002098196, 0.1285865, -0.1535451, 0.002539477, -0.01328499, 0.01352553, -79.17824, 2, 1
130, 0.008703327, 0.2127055, , 0.1994102, , , , , , , , , , 2, 1
131, 0.009606585, 0.2454565, , 0.4448667, , , , , , , , , , 2, 1
132, 0.01058771, 0.2686708, , 0.7135375, , , , , , , , , , 2, 1
133, 0.01158441, 0.2812504, , 0.9947879, , , , , , , , , , 2, 1
134, 0.01259669, 0.2826934, , 1.277481, , , , , , , , , , 2, 1
135, 0.01367125, 0.2729686, , 1.55045, , , , , , , , , , 2, 1
136, 0.01455894, 0.2525776, , 1.803028, , , , , , , , , , 2, 1
137, 0.01529089, 0.2221324, , 2.02516, , , , , , , , , , 2, 1
138, 0.01589825, 0.1829818, , 2.208142, , , , , , , , , , 2, 1
139, 0.01631874, 0.1366002, , 2.344742, , , , , , , , , , 2, 1
140, 0.01656791, 0.08488568, , 2.429628, , , , , , , , , , 2, 1
141, 0.01663021, 0.02968898, , 2.459316, , , , , , , , , , 2, 1
142, 0.01649004, -0.02671549, , 2.432601, , , , , , , , , , 2, 1
143, 0.01620972, -0.0820063, , 2.350595, , , , , , , , , , 2, 1
144, 0.01568023, -0.1340973, , 2.216497, , , , , , , , , , 2, 1
145, 0.01502614, -0.1809651, , 2.035532, , , , , , , , , , 2, 1
146, 0.0142319, -0.220696, , 1.814836, , , , , , , , , , 2, 1
147, 0.01325077, -0.2518314, , 1.563005, , , , , , , , , , 2, 1
148, 0.01225407, -0.2730694, , 1.289935, , , , , , , , , , 2, 1
149, 0.01128852, -0.2835001, , 1.006435, , , , , , , , , , 2, 1
150, 0.01035411, -0.2829198, , 0.7235156, , , , , , , , , , 2, 1
151, 0.009450852, -0.2711558, , 0.4523599, , , , , , , , , , 2, 1
152, 0.00867218, -0.2487728, , 0.2035871, , , , , , , , , , 2, 1
153, 0.008002521, -0.2166022, , -0.01301511, , , , , , , , , , 2, 1
154, 0.007473025, -0.1759144, , -0.1889295, , , , , , , , , , 2, 1
155, 0.007130409, -0.1283721, , -0.3173017, , , , , , , , , , 2, 1
156, 0.006990248, -0.07577923, , -0.3930809, , , , , , , , , , 2, 1
157, 0.007036968, -0.02020608, , -0.413287, , , , , , , , , , 2, 1
158, 0.00727057, 0.03611997, , -0.377167, , , , , , , , , , 2, 1
159, 0.007691053, 0.09100296, , -0.286164, , , , , , , , , , 2, 1
160, 0.008282844, 0.1422313, , -0.1439328, , , , , , , , , , 2, 1
161, 0.009030368, 0.1866521, , 0.04271936, 0.031623, -0.002211303, -0.002547236, 0.1305155, -0.1519182, 0.002452097, -0.01666252, 0.01684199, -81.6283, 2, 1
162, 0.009855761, 0.2188071, , 0.2615264, , , , , , , , , , 2, 1
163, 0.01075902, 0.2443899, , 0.5059163, , , , , , , , , , 2, 1
164, 0.01172457, 0.2640279, , 0.7699443, , , , , , , , , , 2, 1
165, 0.01272127, 0.2770154, , 1.04696, , , , , , , , , , 2, 1
166, 0.01384256, 0.2831327, , 1.330092, , , , , , , , , , 2, 1
167, 0.01485483, 0.2822229, , 1.612315, , , , , , , , , , 2, 1
168, 0.01580481, 0.2741763, , 1.886492, , , , , , , , , , 2, 1
169, 0.0166925, 0.2593694, , 2.145861, , , , , , , , , , 2, 1
170, 0.01748675, 0.2381471, , 2.384008, , , , , , , , , , 2, 1
171, 0.01818755, 0.2109644, , 2.594972, , , , , , , , , , 2, 1
172, 0.01877934, 0.1784958, , 2.773468, , , , , , , , , , 2, 1
173, 0.01923097, 0.1415568, , 2.915025, , , , , , , , , , 2, 1
174, 0.01954244, 0.1011357, , 3.016161, , , , , , , , , , 2, 1
175, 0.01972932, 0.05818924, , 3.07435, , , , , , , , , , 2, 1
176, 0.01972932, 0.01375268, , 3.088103, , , , , , , , , , 2, 1
177, 0.01957358, -0.03106033, , 3.057042, , , , , , , , , , 2, 1
178, 0.01929326, -0.07512044, , 2.981922, , , , , , , , , , 2, 1
179, 0.01885721, -0.1172983, , 2.864624, , , , , , , , , , 2, 1
180, 0.01828099, -0.1565273, , 2.708096, , , , , , , , , , 2, 1
181, 0.01759576, -0.1919605, , 2.516136, , , , , , , , , , 2, 1
182, 0.01681709, -0.2226097, , 2.293526, , , , , , , , , , 2, 1
183, 0.01596055, -0.2477219, , 2.045804, , , , , , , , , , 2, 1
184, 0.01505729, -0.2667325, , 1.779072, , , , , , , , , , 2, 1
185, 0.01412288, -0.2791239, , 1.499948, , , , , , , , , , 2, 1
186, 0.01304832, -0.2845353, , 1.215412, , , , , , , , , , 2, 1
187, 0.01208276, -0.2829354, , 0.9324769, , , , , , , , , , 2, 1
188, 0.0111795, -0.2742614, , 0.6582155, , , , , , , , , , 2, 1
189, 0.01035411, -0.2588271, , 0.3993884, , , , , , , , , , 2, 1
190, 0.009606585, -0.2370245, , 0.1623639, , , , , , , , , , 2, 1
